gene,Pt1_Pre_AD101148-6,Pt1_On_AD174047-6,Pt10_Pre_E9047565-6,Pt10_On_E9047632-6,Pt101_Pre_AD486328-5,Pt101_On_AD681975-5,Pt103_Pre_AE134058-2,Pt103_On_AE134059-6,Pt105_On_AE373241-6,Pt106_Pre_AD502250-5,Pt106_On_AD513626-6,Pt108_On_AE373243-6,Pt109_On_AE527955-5,Pt109_On_AE527955-6,Pt11_Pre_AD153352-6,Pt11_On_AD314068-6,Pt13_On_AD314067-6,Pt16_On_AD167378-6,Pt17_Pre_E9047563-6,Pt17_On_E9261162-5,Pt18_Pre_E9024732-6,Pt18_On_E9261163-5,Pt2_Pre_AD101150-6,Pt2_On_AD174046-6,Pt23_Pre_AD313075-5,Pt23_On_AD486568-8,Pt24_Pre_AD436687-5,Pt26_Pre_AD467789-6,Pt26_On_AD467915-5,Pt27_Pre_AD453873-5,Pt27_On_AD467934-5,Pt28_Pre_AD297619-6,Pt28_On_AD167375-7,Pt29_Pre_AD497504-5,Pt3_Pre_E9024733-3,Pt3_On_E9047638-6,Pt30_Pre_AD497503-5,Pt30_On_AD505620-6,Pt31_Pre_AD453872-5,Pt31_On_AD467932-6,Pt32_On_E9414883-5,Pt34_Pre_AD466985-6,Pt34_On_AD485757-6,Pt35_On_AD485758-6,Pt36_Pre_AD467095-6,Pt36_On_AD495182-6,Pt37_Pre_AD502452-5,Pt37_On_AD495183-5,Pt38_Pre_E9200719-6,Pt38_On_E9414881-5,Pt39_Pre_AD485899-5,Pt4_Pre_E9021023-6,Pt4_On_E9047643-7,Pt44_Pre_AD467790-6,Pt44_On_AD167376-6,Pt46_Pre_AD467096-6,Pt46_On_AD781834-6,Pt47_Pre_AD506073-6,Pt47_On_AD530367-6,Pt48_Pre_E9047561-7,Pt48_On_E9047631-6,Pt49_Pre_AD667851-6,Pt49_On_AD681976-5,Pt5_Pre_E9021022-6,Pt5_On_E9047635-6,Pt52_Pre_AD506075-6,Pt52_On_AD530365-6,Pt58_On_AE045812-10,Pt59_Pre_AD823915-5,Pt62_Pre_AD608303-5,Pt62_On_AD635728-5,Pt65_Pre_AD793919-6,Pt65_On_AD796996-5,Pt66_Pre_AD667850-6,Pt67_Pre_AD506074-6,Pt67_On_AD530366-6,Pt68_On_AD635729-6,Pt69_On_AD635730-6,Pt72_Pre_AD793922-5,Pt76_Pre_AD667852-6,Pt77_Pre_AD733591-7,Pt77_On_AD733629-8,Pt78_Pre_AD467018-5,Pt78_On_AE148748-6,Pt79_Pre_AD733587-5,Pt79_On_AD733628-6,Pt8_Pre_AD153354-6,Pt8_On_AD167380-7,Pt80_On_AD467874-5,Pt81_On_AD681973-5,Pt82_Pre_AD823914-8,Pt82_On_AD125218-6,Pt84_Pre_AD486532-5,Pt84_On_AD495199-6,Pt85_Pre_AD486329-5,Pt85_On_AE070989-10,Pt87_On_AD495198-6,Pt89_Pre_AE070951-5,Pt89_On_AE070987-5,Pt9_Pre_E9021024-6,Pt9_On_E9047644-7,Pt90_Pre_AD467873-6,Pt92_Pre_AE134060-5,Pt92_On_AE148750-5,Pt93_On_AE070988-5,Pt94_Pre_AD732850-6,Pt94_On_AE373242-6,Pt98_Pre_AD733586-8,Pt98_On_AE086717-6
ADGRE1,2.75743869808079,0.762430856235289,0.19309908551125,1.00994655249158,1.82670742882648,2.3272651176973,0.563803384910776,0.147103762944799,3.34329622324007,0.608448146104561,0.572865359247679,1.70137333983683,0.689260911942371,0.428717736996977,0.423570937035418,0.624040213715076,2.93175285203501,0.198278756863607,0.077270700059563,0.0633253871150607,2.05393826555765,1.74834979383977,3.29696473580832,2.13340581725928,0.904876499001224,0.706795762951432,0.943182054051449,0.101177406019044,0.102909551538864,2.00888916081178,1.41080962316597,0.574420674517018,3.27964302303124,0.501657251581206,0.196241643771495,1.12528757990728,0.278590022545615,5.4599710484604,1.04625138223571,4.77101161410313,19.9766048992402,3.89552343249939,1.3344893806172,0.577916949779037,1.32441610011189,1.91513510252476,0.185460986639713,0.247216293748176,0.133093729349265,0.241738346465231,0.0900292647645016,0.584975802928293,2.13503277903788,1.15565166133999,0.417724271937173,0.898584758863478,0.611929750463037,0.751563928833637,0.422635734536284,2.28006622283651,2.39532538420506,2.18342147751375,3.02088783774901,1.70694543604312,0.90440213321847,0.444964124483675,0.584517604466436,1.41409755931373,1.58225676929259,0.137468617183275,0.308704746306752,0.498378985621504,0.792214413402966,0.13623897823855,0.146201167615553,0.196184306029434,0.050196716385125,1.0159327910215,0.395998754499927,0.303315393212589,2.04076850633739,1.26888913841316,0,1.24060201376436,0.378287530407823,0.346553754474637,0.531396406447607,0.576643963075545,1.04503891338349,4.37038862542893,0.403778163210857,1.94690133252498,0.00879876072569236,0.118666207180058,0.0516396273857796,0.286052617019135,15.6285389460139,0.0840800426601626,0.486107098103183,0.448208102220025,0.174169981510899,1.25185380608737,1.89425758944729,4.79442963407095,0.278494752200181,0.743848453832466,0.920508837013451,0.21951533310311,0.941390695716622
CD68,272.752785072111,115.770565722721,73.2728213312571,227.506159955008,83.9567880009279,97.1965803930852,480.775677711501,227.257123925578,217.09012243621,165.0384896212,127.054698765707,128.242390522534,104.87674953839,82.1611402568264,206.470008070915,160.33664258291,259.347119232832,67.473822488172,69.6158442462564,77.428872804401,164.362974666566,246.645799907747,212.104524320778,167.061875214939,263.044744268377,189.565838106957,844.441545822885,38.6604705556807,28.0735448174205,77.8807172048491,165.676064078215,90.0818081610814,192.483306739587,172.622007282921,101.404502859686,106.413266228662,36.7241070890675,1130.26204221583,78.0185018320496,314.256305984259,277.459581651885,963.426536490534,938.429550069962,434.304254453275,556.992111590058,707.541567819019,53.3778569837751,45.6188330183203,393.397059320773,434.341883743931,23.1315061582534,129.850760289236,372.743725838804,176.169811625533,168.941009532263,1079.03047357305,1006.63013028494,140.833583414323,111.688797534082,115.515119579758,76.04993580745,181.137606643543,457.819063343635,200.089391707966,192.412961556278,60.4035602405235,74.4984315410531,151.390446056013,517.720853647443,93.1661704088206,88.077375455273,282.148189610385,211.911877809626,60.5947715414566,46.2521887833074,21.6929194160872,203.923696674949,1030.65871959843,74.5996583455439,145.958181551371,85.1036893326795,137.448416674341,41.935181506697,121.71838682804,44.4261999749464,42.0219767397107,111.954871138056,126.243952865556,301.571027674266,327.961122869304,171.626503254631,143.318022635514,23.2682279248615,32.6186976437243,86.8411435189212,81.3342638855432,460.719726883252,55.8895878265095,106.300899205679,149.850775186592,118.208425510934,207.23170092928,182.526029665977,298.029866688642,128.541738601759,145.49238199049,179.691032630061,106.795501463537,212.950028759321
CSF1R,28.058692767936,9.77917900612933,6.80308464859768,25.4377680138978,33.5598141293863,49.2449940826555,25.4383598958274,8.1583340175179,27.4764117400209,30.5654407117647,21.6126608269633,60.8358822920744,28.3827963401648,20.4659897132419,31.761398994264,25.6286584808868,46.6482351937307,7.13207790108439,5.10330787712643,5.05953506823125,25.0988327217787,34.0569983719494,50.295550861507,33.8497095832542,52.051474514557,27.9109034875106,49.6251542223701,7.26966278404024,5.58079901767797,7.54781408429869,22.6582353255875,11.1828824374328,30.66834033269,25.8254640864537,8.86828544798506,15.102248032108,5.80263899026344,84.3981535191711,21.8610274798435,48.4855130867226,5.14805714393742,80.8158072716089,70.3479931324919,19.8883071569451,108.59068497402,38.5181177180179,7.23516112081627,4.90373945390525,10.6349996007224,14.0779775725011,4.19856271705297,8.97285045781752,58.520295437958,45.7829049537398,52.7980187973022,52.8626102125836,37.5086532612213,33.6105998513813,27.3436927220746,33.4563158031227,26.0792813641635,43.8720998424298,90.6255776043464,27.0656305931637,22.4662164044232,20.8605366887675,23.3757601784442,27.5850954315948,27.6337563210157,3.92344732049541,6.8353239777776,18.3701957555576,17.2575096514142,6.86773964524639,9.77099143645353,8.97101960004467,5.57643043885673,73.3682002462511,6.68028727819544,1.45562496002768,37.6274166990211,48.386462237333,1.01098302909457,19.8098739875034,12.7208139372731,15.2270289634856,28.5395495817514,21.7793313365638,28.0326238379796,91.1328215624079,16.6718357302366,24.445379442623,6.41177919050401,7.58880880352206,6.72110182401761,10.5029821573782,144.747662651868,14.3646454882426,23.1094804164835,44.9810170606509,40.3119613223647,22.7923848680434,46.766214659561,56.9836505411657,7.29634022842485,12.7995928865759,14.9430374181085,8.45571612231357,21.0890884714807
CD14,58.683350618448,24.4228358846547,11.9750408571888,59.0225654575736,32.2983756261546,38.0017481720895,128.002080464,14.9621876361985,48.2473503699502,52.0870773170275,39.2286720209549,134.148561809079,61.3270834842856,36.3219985128782,34.1226353729587,36.7502524150013,57.9714100718558,11.0717811496668,9.14793916591595,8.85964787847183,26.3124822431346,49.9089451686374,104.040582409739,100.482751911434,108.259061279913,34.5551218232364,209.173356029444,5.70378899784129,8.48886767866383,23.5692515194465,68.2491405516613,13.3815795488227,50.5071773214464,55.953658858429,27.5792920824826,55.415431140174,6.92507141457135,304.297587585569,34.4097241855535,64.7788851284308,80.2669582829404,314.907134815241,318.715086740403,108.398373230131,191.950725394772,195.856913981503,24.9570995363902,45.3477926074248,29.1536628316982,37.8376263509456,3.61650629137353,32.2231189428467,96.1585302940103,47.4161377686636,75.0052962451324,305.020646755346,176.755489291282,58.2767322518158,55.6861055493493,86.7508615052564,188.320036880464,117.834394316996,108.206983771798,77.7350927076548,63.6570606277437,61.6318292210274,52.6365331075902,34.4140652295617,103.278414978257,17.3619780734483,20.1665149542519,45.8295566368801,43.3274791051966,28.3382506190466,9.19140673924135,6.65837436803213,4.1991169302951,259.877131390617,18.6501155574588,8.68853546894085,50.2545449992514,51.0865287275899,2.52298929872701,48.2079899093922,20.0089066247483,23.7843781841989,66.0323340404442,86.0766335230076,60.8654671512234,133.889492827822,44.2252360315445,102.916499580353,17.717001411538,18.0326903086336,15.967436817241,22.9102226149578,237.370407211161,31.1000467462677,41.5597170618913,46.0570513119846,52.7492603120714,86.4636310916936,84.9278596452343,118.03835378952,20.6319305114162,31.4854270185508,71.0524200545899,27.2674358457814,40.9686661104838
ITGAM,4.54619575473065,2.4616672415712,1.36762344287747,8.33620504661363,5.87862282466708,5.88891496405896,5.89398489499641,1.34507318042149,2.57926534545356,5.10752005855068,2.68256842132367,6.32821148224424,2.27102872067498,1.66104569417422,10.7061953090308,7.94700586889104,5.46244040407176,1.36810184149069,0.818672348326631,0.523415646350104,3.51929389017932,7.49227515096939,12.2419536955272,8.38469807204608,9.80033695581088,1.89865538666079,40.8093775104084,0.593438079796422,0.775353106180423,8.887437330931,7.4786353195774,2.81585271992964,7.19837838141836,6.43192647921356,2.46711409473822,3.33721976642552,1.83286244800302,25.633997448804,10.5839706972693,9.24625876338118,40.7176124894808,22.6896156203324,35.8893823194649,4.65230431860298,34.7796603434888,35.6621246151864,1.32214935363676,1.50465964156248,1.75868932476744,2.2513329122112,0.700164706767437,4.78586781541556,7.28187149376439,7.27242744126848,7.51920837081431,26.6496713429363,33.262634669141,17.0128367003689,9.27263906924924,2.22888715034873,1.55831986501029,10.2452542606975,12.1525297495258,7.90132147343525,6.71222426157329,2.61025086428221,3.32878438123346,4.28790544068812,6.12246553004032,0.878815354881516,1.45541773833325,4.42829998485985,3.62700248019215,2.35351251136566,0.4671027264682,0.678494978310773,0.617905669119462,33.3994672088186,3.56850519880993,1.10838077368465,4.89819639770456,7.95618066586196,0.551798443033263,8.00852181769763,1.72635607511443,2.26917213044808,5.19695442880985,2.71309477232872,9.80179089124923,4.78845383397736,6.25185309775515,3.91742119863677,0.785441981723109,0.877847232568793,1.26676174533409,2.11228318753206,9.96135895958188,2.29738776488295,3.52377678883043,5.6618413994278,4.78354390616209,6.58698432497302,5.33388768864685,2.00708263506904,1.7011579346805,2.41952719813785,2.66296129319083,1.31893126922192,1.90431198616163
CD33,2.48999668695071,0.930183324552351,0.42474316988098,1.97183175769815,2.27787733537129,2.70591687476429,4.47058827125405,0.541036396181219,2.04792266014314,2.65011737625956,1.92348155120329,3.14394870742106,2.42749733229787,1.84214102058151,3.26012275614064,3.88619449469525,2.81660715557299,0.226564384383776,0.156520860237851,0.164818006885279,1.34245231403462,2.94541854792616,2.35819176918019,1.99933932335989,2.11266363625631,1.58936325243051,5.27449594892128,0.324599992876444,0.230657705107376,1.16453060510491,2.20743661066165,0.671512040701538,2.36834601598084,1.44670213487076,0.408110730594718,0.82806579553969,0.451826807009181,8.58518570972208,1.50760621328743,3.42791534343211,0.899814594756213,7.81808690609192,8.11939568897088,1.18585809126457,7.5075013686015,3.43821936807806,0.688733773209756,0.428004769561989,0.496262130782875,0.39506418530839,0.144956658583005,0.536391260204906,3.57839140677822,1.71579703496393,2.2760858418932,7.30964691095275,6.61869255698247,2.68029424257214,1.61922649652187,1.42108965901213,1.05270484547121,2.3640806636335,6.11874511653875,2.61033440820245,2.42088297783734,1.07337516248584,1.09090736568706,2.47452343438209,3.15423591410232,0.662678388178532,0.538397651388628,0.870032274809094,0.938231566020102,0.913289035944941,0.301988777521989,0.241868870053751,0.188460594924115,6.78913708504387,0.513190217452864,0.369386765086449,2.08774458735621,4.08651178314321,0.0793155318462085,1.71999848242946,0.597795962481497,1.06422763999595,1.32769062355675,1.3558249975291,3.15705657190742,3.83248968380135,2.0279237883892,1.93728912153136,0.261402844187318,0.375145163973758,0.619566392396768,0.841183052658159,6.74394810424333,0.746425379937311,1.43790688402663,2.83613821659976,1.96853129630548,1.24517050894788,2.13217880445092,3.60967731900499,0.640328100166964,0.874961704081162,1.20765072059046,0.453424334239644,1.18891566257576
FCGR1A,8.90459149158911,4.20162482235817,1.1857512348157,8.7493785049459,1.46599178001279,1.32529087489067,14.2283656119362,0.681491794260732,6.94305326787988,3.08992366872796,3.95807792010227,21.0444268429374,5.62640903986738,4.17996592274733,3.97249212950624,4.66448491541868,6.8319216533621,0.601417753403964,0.255240052738293,0.245433161052876,1.63589189155064,2.63227791495652,5.50628744382262,7.31667795999954,8.40938566754282,6.91425342272415,22.1307002964136,0.667388709760854,1.02397415502119,4.30126017173129,6.57084926762184,1.11743588452984,7.17417063099383,4.1779227172635,1.24355305145207,2.81305761821553,0.822869697185983,22.4688103932122,0.861240075864533,4.84460954799072,16.0826129979362,24.4781347961345,24.5970656291034,13.036929986128,1.7393792220345,10.2774164972544,0.819881032857747,2.42803347307694,0.895928435785547,1.42988725606726,0.154639709744565,1.3435366199916,15.835948897585,5.52509843276463,1.82136765882283,10.2407579872137,19.0912497738792,2.8745441722509,1.38509810181764,1.86549444057189,0.449518579255505,7.14311174054244,15.682287943761,5.5857007864405,5.31870514449022,1.35330702442777,2.12951565394955,4.6859847938635,11.7950299539548,1.1238613763673,1.25156160257528,4.11469063997578,6.98041344748781,1.80849512008967,0.310561592471472,0.240113898796258,0.323091563399495,35.5343073178527,1.44588530289546,0.55685067095735,3.16887092684423,1.0689369141843,0.225509124146971,2.98112069085302,2.16412604380148,2.44496106282821,3.19308320010794,3.34164408167625,8.5202073405452,19.3058213678536,4.73576891540843,4.63352922197102,0.281339585784593,0.344940121946334,1.32951548602753,1.47958198190516,33.4370816199832,1.43822772724028,4.45557425470047,2.1632322877689,2.05813439971937,4.11020467651596,6.62941177660273,18.4255402816545,2.05344535182901,2.46748160732189,6.02042473240249,1.3252625445158,5.40087616175849
MSR1,31.5796242848468,11.1532836337954,12.6311059910831,47.3320144618558,1.11260048225287,0.724803523638633,49.3659539112607,7.99385840140274,16.4368269710129,21.7958148258941,15.4226879327475,42.2728012338873,22.0211896172892,16.7723446761473,29.2381628916512,25.322892643781,36.3740991927195,5.75886475114385,3.11889134079232,2.44382055438088,9.39760174827609,11.2781057000795,47.1880675359,38.9479082075888,46.5232057009654,16.2084144475435,159.454477411962,4.64946095220177,6.42913763554168,6.31364265518576,14.8579807736726,14.3442364065379,34.9390407416741,24.9002578162627,11.873350626891,9.85955612311602,8.39634188416508,191.946525661109,12.2308308578979,32.160628205062,2.23436503371869,125.004339834594,172.232129779803,26.6548339310343,56.7010809401664,27.6259211196073,5.10846176267577,17.957716075649,11.47959540388,13.137676385565,3.48225905438634,11.036707405659,45.5736552354817,29.6857504959037,16.2683709921171,63.7863592420429,53.8573869116549,25.3250419245724,16.7946465418532,15.8845535370132,7.576709484254,25.7802231692821,66.4788123994034,28.0810679497646,22.1774515883748,13.1507560732335,15.4247506478513,34.3009167875395,61.450655766871,6.87841667223342,11.0606269928854,15.97556328526,19.8436115871608,16.367108386253,1.79679814167874,1.18945072939571,3.98502656355694,148.166268510059,19.3841393774719,2.85087868934723,7.68378593937634,4.96856828794158,3.51233065917537,13.7406044690816,12.8499414428802,12.4629177511446,18.5255055505455,15.0682178711641,72.4565473435385,52.0054421241228,25.3521988854758,15.3413844750007,3.64175116931021,3.92005613531816,11.3122693441764,10.6560695137236,58.7859049578073,8.67477708901098,18.3768372385882,15.8316641360218,12.8000315493775,23.219787200207,12.4328307803955,22.5384335652855,9.95981032953814,20.2176179566528,27.7381675314609,8.91942998524642,21.8503798143423
C1QA,432.099640499215,160.566254448082,79.2430108370227,197.450946195944,245.84229882794,267.634174662532,1042.59933546772,39.6583974390752,509.401376466488,313.148422508915,188.675730464405,424.04454637425,435.872351649062,306.207934343623,208.775388300627,203.623883299482,621.831698269816,46.5844060112723,36.215634499352,36.5038239209682,222.948750863071,247.013711496853,670.03402238251,452.600131090278,401.68193010445,416.810411577226,382.306823976863,50.9321986726636,50.1202247489575,84.9455689196933,297.788352450109,64.1505475914711,344.127748190573,210.391544194199,44.6901059615534,128.915470389695,46.5706134944477,1925.82851617314,271.224442539039,671.708797760724,14.658595182799,1201.264386128,894.045411224481,706.877696014975,562.473039074011,533.698376197999,77.6473183698407,53.2521663229925,75.4776312701987,118.840709257892,23.3827721513888,117.758369250893,1067.86963807477,319.913706001632,266.530855597227,869.374220124986,776.466036186112,208.420097548275,191.534880094712,182.282417571799,217.672982788537,527.156619521972,1582.75735077393,332.090076387002,160.024448529308,164.304391320907,211.399923190176,332.441346956083,557.070626305919,121.209165928429,91.7817003499437,180.169651799076,188.683906233266,108.785839761709,42.5300569086039,27.913240735065,38.2837019713369,1203.51732270104,50.4225747169853,10.1876286686623,224.916276441475,312.494685118954,8.54093918339554,221.629218574073,140.798404772993,144.601737111739,203.372395550889,295.914904765177,644.637874354332,1514.69451932601,231.626016897452,359.215353163301,36.2638759679724,48.9664179667861,32.3224830455546,60.5760628570596,1954.07484539205,39.7267068650631,113.226993529203,95.8431187527298,85.0173515514832,298.558080458969,636.359760301032,1376.42343125654,70.7810701238741,138.453366308423,268.561387425386,164.108057493293,492.266350133309
C1QB,529.713771320024,199.496776616568,119.357559615705,305.293646817,189.235934859234,230.962799289426,950.907267264971,42.3096278110946,689.621107941592,361.953364378849,246.222393922291,545.570526207942,620.513891840041,415.657279583335,278.676851582353,280.472261077977,913.165992313964,75.5937182518471,41.6030724306062,51.0508027667023,276.373085404351,314.032822253017,831.260381575458,557.367478833064,468.310991395228,588.669318302228,494.250303660333,78.9593784435358,73.8419859082384,115.55646332572,310.351704342334,82.9559952612794,509.486678579846,311.188796344582,55.2702484354963,164.143603917995,69.1129474730099,2430.53818164699,341.469625294742,939.756836812849,19.1949282485285,1795.60959543036,1179.93214333108,982.477370589239,773.28561724354,546.380537736796,73.1154181356703,73.2322228221128,111.573984339293,188.957558193209,29.6530872595599,117.38644495391,1359.77919771725,456.946216618281,244.526168152127,1272.49102491225,1044.90468735766,235.768923541464,231.95554706829,276.827548329456,305.426602448311,631.288944924336,2052.00203017366,382.837702801241,216.257636255283,196.742841896119,285.540238938846,432.19350859216,737.847209584005,152.253505220003,124.927345156472,213.492116695791,219.213436596726,96.3222799853248,54.9688382347962,30.8008173628304,55.7500063190025,1427.98051199052,57.952554480499,10.3425411256691,272.808753720488,265.372601392763,9.33796039298964,264.368866782802,188.746481576762,196.747540077284,239.152511039281,377.976663336719,869.634400023143,2069.50756555484,290.67070018767,464.052200100216,43.0881717965269,56.5138794275707,25.3983303192846,56.3894034676845,2494.28355696214,37.2195313393368,179.74601506069,111.679409840734,103.744699103538,347.626938420146,784.271315507296,1595.3333181642,119.757532067179,178.517425991509,391.487366287155,220.133217332053,714.535502340406
