gene,JC050,JC052,JC053,JC054,JC055,JC056,JC058,JC059,JC060,JC066,JC067,JC069,JC072,JC077,JC106,JC107,JC108,JC109,JC110,JC111,JC113,JC115,JC116,JC117,JC121,JC123,JC124,JC126,JC127,JC129,JC130,JC132,JC133,JC135,JC136,JC143,JC144,JC145,JC146,JC149,JC153,JC155,JC158,JC161,JC164,JC169,JC171,JC175,JC178,JC179,JC180,JC181,JC182,JC189,JC194,JC195,JC197,JC198,JC224,JC235,JC247,JC248,JC262,JC271,JC272,JC273,JC274,JC281,JC282,JC286,JC292,JC293,JC294,JC295,JC296,JC301,JC302,JC303
CXCL10,172,109,108,126,164,78,129,81,93,106,44,66,215,622,1750,7940,244,3735,364,482,9830,2149,16086,2257,2265,43417,4269,1733,12910,21984,5829,27374,2418,7166,35880,605,4757,14802,10027,11913,27018,2873,1126,4274,9431,2151,56,1196,270,724,14498,10711,657,3130,1344,17076,3668,606,27,3441,63,54,203,2320,120,12,86,38,49,24,422,513,2173,526,2403,347,700,20
CXCL11,113,94,45,43,63,47,62,33,35,23,16,36,96,141,824,1652,24,711,49,106,1424,258,2784,543,180,5606,641,225,2607,3723,1454,2411,504,1361,4076,92,829,3685,4306,1806,3592,375,219,1079,1397,440,10,190,31,237,2312,1418,239,797,330,3043,605,63,7,648,28,10,30,310,18,10,12,30,10,4,74,155,296,46,367,40,83,0
CCR7,81,76,86,95,66,63,179,116,37,44,57,107,149,139,419,566,171,294,65,427,810,436,493,420,225,458,439,190,1819,1471,468,1089,1391,309,204,395,355,1498,1377,528,782,758,134,543,1873,440,63,1776,316,435,3242,673,177,497,1239,2881,372,182,131,586,41,34,34,107,60,32,72,23,94,81,242,557,546,37,401,114,143,43
STAT1,7815,5778,4552,14745,5409,3055,12673,11025,7425,7690,7449,9485,10058,17591,42638,42101,18094,36725,31055,19347,63653,30707,103710,26140,28649,202072,32188,21467,84828,69301,14945,77749,33093,29357,57142,17988,58343,57533,90226,55838,62090,33780,15699,31210,60377,46220,5817,25921,8365,23033,62929,52501,23181,29782,28126,71447,27789,9886,8998,50627,7138,6123,6840,45352,13324,7860,13729,8309,10756,10981,28328,21372,26510,22874,41731,6551,7423,6774
IL12A,34,42,21,26,21,39,40,19,7,7,9,31,8,12,34,32,2,4,6,12,21,2,33,139,4,47,10,4,58,30,29,20,26,9,12,9,23,25,42,25,14,10,143,11,37,31,11,28,54,19,33,12,23,54,4,15,23,55,0,8,8,7,0,2,2,7,2,10,2,2,22,36,73,8,23,22,31,4
IL12B,54,55,35,20,44,32,24,26,11,21,16,12,19,4,6,46,4,1,0,8,4,52,28,11,6,75,43,22,97,77,2,91,47,10,18,7,10,62,36,33,94,52,24,38,89,27,0,34,5,8,71,55,5,35,53,162,23,4,4,23,0,2,8,19,7,4,2,2,4,0,6,13,74,6,18,32,11,0
MRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG1,1004,9341,6218,7973,3914,3066,3527,2920,2099,5354,5109,3699,6854,4196,4441,1052,4300,1728,1689,1298,1662,731,101,843,1803,39,3613,2594,1003,3289,8547,3997,3393,6272,2241,796,2437,2271,3018,1237,1278,669,1379,1359,1748,1180,8560,1011,1329,5810,3268,1514,2010,2538,1902,3191,5494,2457,955,4200,1010,4030,1156,2018,6387,3609,4847,5305,9565,3314,1989,1022,1684,142,5690,4785,6750,5403
CD163,910,1121,778,843,1032,449,2715,1773,964,844,951,1037,1389,1719,12682,6663,4917,5426,3323,3879,17304,3615,7220,2540,8688,12462,2775,4302,9934,9486,2588,7659,3393,6406,2128,1965,5982,9134,7403,4084,3176,2536,2453,3879,6209,3246,1153,4721,1914,4076,8391,6778,2786,3601,7325,10856,1554,1664,1755,11241,548,550,333,676,1192,407,799,725,962,959,1407,13620,3794,3354,2876,630,1035,365
IL10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGFB1,189,158,136,199,147,53,679,499,237,276,122,252,280,598,1056,1667,2492,956,631,826,2082,977,810,570,1754,1350,687,1518,1288,1682,464,1043,1415,1183,280,1332,1133,1873,1706,1213,1375,1140,869,1392,1844,1701,1138,1336,1130,1011,1787,1267,539,1538,1518,3016,1411,949,384,2311,115,128,57,177,238,64,149,131,169,488,1437,1847,783,893,835,369,321,180
CCL18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCL22,141,172,132,139,119,32,463,151,132,109,124,322,279,491,146,343,404,143,55,259,564,308,142,48,250,81,304,430,229,296,118,360,774,166,52,668,406,397,378,222,911,517,366,432,1037,529,128,1410,353,494,821,133,300,420,1278,1197,385,270,141,336,52,73,88,216,109,66,70,72,132,177,332,213,750,10,683,270,278,199
FOLR2,259,851,741,531,884,417,1221,689,512,462,631,749,1170,701,3984,2496,1287,1785,269,866,4433,1408,3138,1159,3628,2273,1847,2155,2648,2663,529,2645,1138,1284,904,664,1657,1512,1060,1871,1289,692,802,1136,1026,1205,247,1565,570,1198,2007,2038,700,1329,1328,1988,565,1011,433,2464,345,295,180,735,1055,392,827,491,617,461,402,4314,871,195,217,1110,1242,195
TGM2,84,81,72,61,73,87,66,37,87,48,52,67,88,100,1090,677,2644,1002,937,1914,4562,1298,3370,656,1412,8761,305,517,3063,447,1469,1151,478,1075,274,289,944,1175,3221,760,627,377,314,330,286,780,406,1150,322,561,764,747,108,308,409,541,400,96,182,412,8,28,8,27,34,8,21,12,20,64,285,449,312,1840,658,22,64,29
STAT6,6662,5424,5506,10725,5570,2735,8303,7895,6538,11340,7266,7098,9828,8863,8672,12790,13561,8813,5416,11853,11564,10978,10309,13039,10325,18930,6791,11398,8499,10964,4580,13690,8776,8708,6194,12590,8174,9591,8280,8191,11774,7709,7022,7680,8040,9727,10565,10526,8835,10975,11291,10449,6709,9562,8324,11865,8547,5338,7912,14149,8159,7656,5950,10072,9494,6383,8166,8290,11126,13312,9624,11674,10228,20650,9051,8131,7881,9617
IRF4,10238,7180,6876,11735,6630,3816,2029,7100,8310,13044,7136,5214,8495,3101,10869,8692,19098,18515,13030,11542,12937,10735,33592,7611,8111,33483,11579,30241,5205,7972,8774,29863,15302,5564,12053,8735,9008,11749,32853,13202,20559,11244,2160,6803,7254,13764,14600,13349,2116,6760,7784,14161,5886,6363,7587,6369,4967,2087,15526,13882,4555,4318,4287,9968,5961,6809,8896,10579,5267,9469,7798,4971,7482,30847,11269,9022,6817,7177
PPARG,391,187,116,366,425,350,889,401,228,277,276,1426,369,3106,689,602,957,359,114,281,1885,375,356,836,1190,3165,239,682,440,974,130,536,729,940,396,187,755,1074,458,672,589,336,4454,1068,156,467,341,348,3315,1846,1542,431,448,2097,538,1813,1001,2257,108,1078,520,416,819,158,344,124,310,81,255,174,66,1562,2471,150,272,249,213,67
